adm_genit_all_4_sig, adm_inj_pub_2_asr, adm_ment_pub_2_asr, adm_infc_all_4_sig, adm_circ_all_4_sig, lga_name, adm_resp_pub_1_count, adm_dig_all_2_asr, adm_genit_all_3_sr, adm_inj_all_2_asr, adm_ment_all_4_sig, adm_genit_pub_3_sr, adm_resp_pub_2_asr, adm_infc_pub_1_count, adm_infc_all_1_count, adm_circ_pub_4_sig, adm_infc_all_3_sr, adm_musc_all_3_sr, adm_resp_all_4_sig, adm_resp_all_1_count, adm_resp_pub_3_sr, adm_genit_pub_1_count, adm_dig_all_1_count, adm_musc_pub_3_sr, lga_code, adm_canc_all_1_count, adm_canc_pub_4_sig, adm_inj_pub_1_count, adm_dig_pub_4_sig, adm_genit_pub_4_sig, adm_circ_pub_1_count, adm_inj_pub_4_sig, adm_ment_pub_4_sig, adm_inj_pub_3_sr, adm_dig_all_3_sr, adm_infc_pub_3_sr, adm_inj_all_3_sr, adm_infc_pub_2_asr, adm_ment_all_3_sr, adm_circ_all_2_asr, adm_canc_all_3_sr, adm_ment_pub_3_sr, adm_ment_all_2_asr, adm_dig_pub_1_count, adm_resp_all_2_asr, adm_musc_all_4_sig, adm_canc_pub_2_asr, adm_genit_all_2_asr, adm_musc_pub_2_asr, adm_canc_all_2_asr, adm_inj_all_4_sig, adm_ment_all_1_count, adm_circ_all_3_sr, adm_genit_all_1_count, adm_dig_pub_2_asr, adm_canc_pub_3_sr, adm_circ_pub_2_asr, adm_circ_all_1_count, adm_infc_all_2_asr, ste_name, adm_dig_pub_3_sr, adm_inj_all_1_count, adm_musc_all_2_asr, adm_musc_pub_1_count, adm_canc_pub_1_count, adm_genit_pub_2_asr, adm_infc_pub_4_sig, adm_dig_all_4_sig, adm_musc_all_1_count, adm_circ_pub_3_sr, adm_ment_pub_1_count, adm_canc_all_4_sig, adm_resp_pub_4_sig, adm_resp_all_3_sr, adm_musc_pub_4_sig
1.0,2022.1,821.1,3.0,2.0,"Alpine (S)",227,3564.7,86.0,2439.4,3.0,111.0,1598.3,64,null,3.0,null,122.0,3.0,264,119.0,168,505,144.0,20110,400,2.0,270,2.0,3.0,256,3.0,3.0,94.0,88.0,93.0,92.0,483.0,null,1928.1,90.0,96.0,null,339,1873.8,2.0,1548.0,1631.6,1204.1,2387.2,3.0,null,85.0,231,2399.8,126.0,1492.9,331,null,"vic",129.0,331,2671.7,184,254,1207.3,3.0,2.0,410,100.0,100,1.0,2.0,106.0,2.0
3.0,1958.8,714.5,3.0,2.0,"Ararat (RC)",217,4368.3,89.0,2314.7,3.0,121.0,1637.1,65,null,3.0,null,108.0,3.0,238,122.0,170,573,173.0,20260,356,2.0,245,2.0,1.0,240,3.0,3.0,91.0,108.0,100.0,88.0,519.1,null,1943.2,88.0,84.0,null,451,1813.2,3.0,1493.3,1688.9,1443.7,2328.2,1.0,null,85.0,222,3439.0,122.0,1535.2,304,null,"vic",185.0,293,2359.6,203,225,1312.3,3.0,3.0,333,103.0,82,1.0,2.0,103.0,2.0
3.0,1585.7,686.5,1.0,3.0,"Ballarat (C)",1251,4272.6,98.0,2328.7,2.0,93.0,1256.5,377,563,2.0,92.0,109.0,2.0,1900,94.0,976,4143,89.0,20570,2579,1.0,1558,2.0,1.0,1289,2.0,2.0,74.0,106.0,74.0,88.0,383.0,49.0,2265.4,99.0,81.0,769.8,2196,1910.5,2.0,1150.7,1874.2,745.1,2618.3,2.0,730,99.0,1800,2266.4,94.0,1291.7,2256,572.8,"vic",122.0,2286,2393.5,727,1133,1010.9,2.0,2.0,2317,87.0,657,3.0,1.0,108.0,2.0
2.0,1922.2,668.5,2.0,2.0,"Banyule (C)",1448,5452.5,120.0,2527.3,2.0,105.0,1131.1,479,699,2.0,89.0,122.0,2.0,2119,84.0,1444,6864,104.0,20660,4430,2.0,2422,2.0,3.0,1820,2.0,2.0,90.0,135.0,73.0,96.0,379.6,69.0,2589.3,129.0,78.0,1088.7,2561,1661.1,2.0,1595.3,2289.2,867.7,3392.4,1.0,1353,114.0,2904,2027.0,130.0,1371.0,3432,552.0,"vic",109.0,3192,2673.1,1112,2077,1138.4,2.0,2.0,3410,92.0,831,2.0,2.0,94.0,3.0
2.0,1737.5,724.2,2.0,1.0,"Bass Coast (S)",487,3911.9,90.0,2222.7,2.0,114.0,1294.0,122,134,3.0,61.0,100.0,2.0,535,96.0,444,1401,122.0,20740,1317,2.0,598,2.0,2.0,677,2.0,1.0,81.0,97.0,67.0,84.0,350.4,73.0,2133.3,116.0,85.0,1153.0,835,1442.9,3.0,2050.9,1715.2,1018.4,3062.7,2.0,363,94.0,618,2323.4,167.0,1527.2,946,378.0,"vic",125.0,776,2201.7,397,867,1242.3,2.0,3.0,851,102.0,224,2.0,3.0,82.0,2.0
2.0,1796.4,548.3,2.0,2.0,"Baw Baw (S)",630,3011.4,88.0,2132.7,2.0,113.0,1302.2,156,176,3.0,60.0,112.0,2.0,727,97.0,570,1419,123.0,20830,1355,2.0,825,3.0,2.0,720,2.0,2.0,84.0,74.0,64.0,81.0,334.6,67.0,1836.7,101.0,64.0,1043.4,880,1514.3,2.0,1919.2,1677.6,1028.0,2661.9,2.0,457,81.0,781,1877.6,157.0,1410.1,939,375.2,"vic",101.0,985,2451.8,500,969,1229.3,2.0,2.0,1194,95.0,238,3.0,3.0,86.0,2.0
3.0,1753.2,472.3,1.0,3.0,"Bayside (C)",704,5167.1,102.0,2717.8,3.0,56.0,672.4,298,572,2.0,91.0,119.0,2.0,1613,50.0,625,5273,55.0,20910,4197,2.0,1774,2.0,2.0,993,2.0,2.0,82.0,128.0,57.0,103.0,297.3,98.0,2212.7,143.0,55.0,1541.9,1083,1548.0,2.0,765.7,1953.6,459.7,3764.3,3.0,1476,97.0,2005,1056.0,62.0,863.1,2536,565.5,"vic",57.0,2765,2615.5,491,847,610.8,2.0,2.0,2770,58.0,449,2.0,2.0,88.0,2.0
3.0,1858.4,998.2,3.0,2.0,"Benalla (RC)",264,4485.4,104.0,2025.7,3.0,155.0,1593.6,83,null,1.0,null,127.0,3.0,287,119.0,264,710,219.0,21010,696,2.0,288,2.0,2.0,336,1.0,3.0,87.0,111.0,104.0,77.0,540.3,null,1960.9,141.0,117.0,null,570,1755.9,2.0,3313.2,1978.8,1830.2,3717.1,2.0,null,86.0,312,3593.0,270.0,1715.9,382,null,"vic",194.0,317,2792.5,314,611,1683.0,3.0,2.0,473,115.0,138,2.0,2.0,100.0,2.0
3.0,1217.2,526.3,2.0,2.0,"Boroondara (C)",956,4841.6,102.0,2315.1,2.0,47.0,582.2,376,788,2.0,76.0,114.0,2.0,2311,43.0,867,8207,41.0,21110,5604,2.0,2081,2.0,2.0,1039,2.0,2.0,57.0,120.0,44.0,88.0,228.2,118.0,2044.0,124.0,62.0,1852.3,1416,1399.3,2.0,798.8,1953.4,344.7,3282.4,2.0,3132,90.0,3294,836.8,65.0,597.0,3545,475.4,"vic",45.0,3962,2508.1,586,1362,512.1,2.0,2.0,4246,40.0,896,2.0,2.0,79.0,2.0
3.0,1681.0,801.7,3.0,3.0,"Brimbank (C)",2100,4111.9,102.0,1890.9,2.0,131.0,1161.3,1150,1175,2.0,102.0,75.0,2.0,2427,86.0,2655,7702,110.0,21180,3710,2.0,3143,2.0,2.0,2770,2.0,1.0,78.0,102.0,119.0,72.0,617.4,59.0,2225.2,80.0,94.0,933.1,3607,1334.6,2.0,1408.8,1941.4,914.4,2109.2,2.0,1809,98.0,3610,1938.0,115.0,1618.2,3822,633.5,"vic",104.0,3526,1652.9,1659,2489,1427.4,2.0,3.0,3028,109.0,1554,2.0,2.0,76.0,2.0
