predominant_recycling_bin_system, household_yield_kg, diversion_rate_2, diversion_rate_1, diversion_rate_3, rank, service_provision_category, lga_name, lga_code, ogc_fid, classification, waste_management_group, lga
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",304.0,29.0,29.0,39.0,70.0,"Small provincial                                                                                                                                                                                                                                               ","ALPINE                                            ","20110",1,"Non-metro                                                                                                                                                                                                                                                      ","North Eastern RWMG                                                                                                                                                                                                                                             ","Alpine Shire Council                                                                                                                                                                                                                                           "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",279.0,26.0,39.0,39.0,36.0,"Outer metropolitan                                                                                                                                                                                                                                             ","BRIMBANK                                          ","21180",10,"Metro                                                                                                                                                                                                                                                          ","Metropolitan WMG                                                                                                                                                                                                                                               ","Brimbank City Council                                                                                                                                                                                                                                          "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",239.0,30.0,30.0,25.0,65.0,"Rural township                                                                                                                                                                                                                                                 ","BULOKE                                            ","21270",11,"Non-metro                                                                                                                                                                                                                                                      ","Central Murray RWMG                                                                                                                                                                                                                                            ","Buloke Shire Council                                                                                                                                                                                                                                           "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",259.0,29.0,35.0,36.0,52.0,"Small provincial                                                                                                                                                                                                                                               ","CAMPASPE                                          ","21370",12,"Non-metro                                                                                                                                                                                                                                                      ","Goulburn Valley RWMG                                                                                                                                                                                                                                           ","Campaspe Shire Council                                                                                                                                                                                                                                         "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",287.0,29.0,40.0,40.0,35.0,"Melbourne fringe                                                                                                                                                                                                                                               ","CARDINIA                                          ","21450",13,"Metro                                                                                                                                                                                                                                                          ","Metropolitan WMG                                                                                                                                                                                                                                               ","Cardinia Shire Council                                                                                                                                                                                                                                         "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",271.0,32.0,54.0,58.0,13.0,"Outer metropolitan                                                                                                                                                                                                                                             ","CASEY                                             ","21610",14,"Metro                                                                                                                                                                                                                                                          ","Metropolitan WMG                                                                                                                                                                                                                                               ","Casey City Council                                                                                                                                                                                                                                             "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",242.0,36.0,39.0,52.0,40.0,"Small provincial                                                                                                                                                                                                                                               ","CENTRAL GOLDFIELDS                                ","21670",15,"Non-metro                                                                                                                                                                                                                                                      ","Highlands RWMG                                                                                                                                                                                                                                                 ","Central Goldfields Shire Council                                                                                                                                                                                                                               "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",199.0,29.0,46.0,48.0,23.0,"Small provincial                                                                                                                                                                                                                                               ","COLAC OTWAY                                       ","21750",16,"Non-metro                                                                                                                                                                                                                                                      ","Barwon RWMG                                                                                                                                                                                                                                                    ","Colac Otway Shire Council                                                                                                                                                                                                                                      "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",252.0,31.0,54.0,60.0,11.0,"Rural township                                                                                                                                                                                                                                                 ","CORANGAMITE                                       ","21830",17,"Non-metro                                                                                                                                                                                                                                                      ","South Western RWMG                                                                                                                                                                                                                                             ","Corangamite Shire Council                                                                                                                                                                                                                                      "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",281.0,31.0,46.0,47.0,25.0,"Inner metropolitan                                                                                                                                                                                                                                             ","DAREBIN                                           ","21890",18,"Metro                                                                                                                                                                                                                                                          ","Metropolitan WMG                                                                                                                                                                                                                                               ","Darebin City Council                                                                                                                                                                                                                                           "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",290.0,37.0,54.0,62.0,12.0,"Small provincial                                                                                                                                                                                                                                               ","EAST GIPPSLAND                                    ","22110",19,"Non-metro                                                                                                                                                                                                                                                      ","Gippsland RWMG                                                                                                                                                                                                                                                 ","East Gippsland Shire Council                                                                                                                                                                                                                                   "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",278.0,30.0,30.0,56.0,62.0,"Small provincial                                                                                                                                                                                                                                               ","ARARAT                                            ","20260",2,"Non-metro                                                                                                                                                                                                                                                      ","Grampians RWMG                                                                                                                                                                                                                                                 ","Ararat Rural City Council                                                                                                                                                                                                                                      "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",313.0,34.0,50.0,50.0,17.0,"Outer metropolitan                                                                                                                                                                                                                                             ","FRANKSTON                                         ","22170",20,"Metro                                                                                                                                                                                                                                                          ","Metropolitan WMG                                                                                                                                                                                                                                               ","Frankston City Council                                                                                                                                                                                                                                         "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",294.0,39.0,39.0,51.0,39.0,"Rural township                                                                                                                                                                                                                                                 ","GANNAWARRA                                        ","22250",21,"Non-metro                                                                                                                                                                                                                                                      ","Central Murray RWMG                                                                                                                                                                                                                                            ","Gannawarra Shire Council                                                                                                                                                                                                                                       "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",290.0,33.0,43.0,43.0,29.0,"Inner metropolitan                                                                                                                                                                                                                                             ","GLEN EIRA                                         ","22310",22,"Metro                                                                                                                                                                                                                                                          ","Metropolitan WMG                                                                                                                                                                                                                                               ","Glen Eira City Council                                                                                                                                                                                                                                         "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",250.0,26.0,26.0,46.0,74.0,"Rural township                                                                                                                                                                                                                                                 ","GLENELG                                           ","22410",23,"Non-metro                                                                                                                                                                                                                                                      ","South Western RWMG                                                                                                                                                                                                                                             ","Glenelg Shire Council                                                                                                                                                                                                                                          "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",280.0,28.0,28.0,28.0,71.0,"Rural township                                                                                                                                                                                                                                                 ","GOLDEN PLAINS                                     ","22490",24,"Non-metro                                                                                                                                                                                                                                                      ","Highlands RWMG                                                                                                                                                                                                                                                 ","Golden Plains Shire Council                                                                                                                                                                                                                                    "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",257.0,26.0,26.0,35.0,73.0,"Major provincial                                                                                                                                                                                                                                               ","GREATER BENDIGO                                   ","22620",25,"Non-metro                                                                                                                                                                                                                                                      ","Calder RWMG                                                                                                                                                                                                                                                    ","Greater Bendigo City Council                                                                                                                                                                                                                                   "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",257.0,29.0,48.0,48.0,18.0,"Outer metropolitan                                                                                                                                                                                                                                             ","GREATER DANDENONG                                 ","22670",26,"Metro                                                                                                                                                                                                                                                          ","Metropolitan WMG                                                                                                                                                                                                                                               ","Greater Dandenong City Council                                                                                                                                                                                                                                 "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",298.0,38.0,57.0,58.0,3.0,"Major provincial                                                                                                                                                                                                                                               ","GREATER GEELONG                                   ","22750",27,"Non-metro                                                                                                                                                                                                                                                      ","Barwon RWMG                                                                                                                                                                                                                                                    ","Greater Geelong City Council                                                                                                                                                                                                                                   "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",315.0,38.0,52.0,55.0,16.0,"Major provincial                                                                                                                                                                                                                                               ","GREATER SHEPPARTON                                ","22830",28,"Non-metro                                                                                                                                                                                                                                                      ","Goulburn Valley RWMG                                                                                                                                                                                                                                           ","Greater Shepparton City Council                                                                                                                                                                                                                                "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",267.0,38.0,38.0,56.0,42.0,"Small provincial                                                                                                                                                                                                                                               ","HEPBURN                                           ","22910",29,"Non-metro                                                                                                                                                                                                                                                      ","Highlands RWMG                                                                                                                                                                                                                                                 ","Hepburn Shire Council                                                                                                                                                                                                                                          "
"240 L commingled fortnightly                                                                                                                                                                                                                                   ",293.0,35.0,35.0,35.0,49.0,"Major provincial                                                                                                                                                                                                                                               ","BALLARAT                                          ","20570",3,"Non-metro                                                                                                                                                                                                                                                      ","Highlands RWMG                                                                                                                                                                                                                                                 ","Ballarat City Council                                                                                                                                                                                                                                          "
