 lga_code, lga_name,RiskAlcoholConsumption_per100, obese_per100,FruitAdequateIntake_per100,RiskWaistMearsurement_per100,LowExercise_per100,PsychologicalDistress_per100,Somker_per100
20110,Alpine (S),24.9,34.1,46.6,65.7,71.5,10.1,19
20260,Ararat (RC),18.3,32.6,46,67.9,72.8,13.2,20.8
20570,Ballarat (C),17.7,33.8,46.3,66.4,67.4,14.7,18
20660,Banyule (C),16.6,22.9,49.5,59.8,62,10.7,13.8
20740,Bass Coast (S),17.8,31,47.4,64.4,66.7,13.3,21.9
20830,Baw Baw (S),17.3,32.7,47.4,67.4,70.1,12.4,19.6
20910,Bayside (C),20.5,17.7,50.6,54.3,55.2,7.3,11.1
21010,Benalla (RC),17.5,31.2,46.6,65,70.3,12.9,21.2
21110,Boroondara (C),15.6,14.5,51.9,52.1,54.6,7.3,8.8
21180,Brimbank (C),8.6,27.4,46.7,60.1,72.8,15.9,17.3
21270,Buloke (S),19.2,32.4,45.7,68.5,74.8,9.5,20.4
21370,Campaspe (S),19.6,33,46.4,66.9,72.4,13.9,21.7
21450,Cardinia (S),15.9,32.4,46.9,65.2,66.6,14,18.3
21610,Casey (C),11.6,32.2,48.2,63.2,69.7,14.9,16.9
21670,Central Goldfields (S),16.9,36.1,43.7,65,71.6,17.6,22.8
21750,Colac-Otway (S),19.3,31.3,46.6,66.7,72.4,12.3,20.7
21830,Corangamite (S),21.3,33.3,46.1,70,75.2,10.9,19.4
21890,Darebin (C),12.9,23.9,48.8,60.4,65.7,13.4,15.4
22110,East Gippsland (S),19.3,33.9,45,64.5,68.5,10.7,22.3
22170,Frankston (C),16,30.8,47.4,62.9,66.5,15,20.2
22250,Gannawarra (S),19.2,32.4,45.7,68.5,74.8,9.5,20.4
22310,Glen Eira (C),14.2,18.6,49.8,57,58.5,10,9.8
22410,Glenelg (S),17.5,32.5,46.4,66.8,73.5,10.9,22.6
22490,Golden Plains (S),21.1,35.4,47.8,67.2,69.8,12.3,17.5
22620,Greater Bendigo (C),18.3,34.2,47,65.4,68.3,14.5,18.1
22670,Greater Dandenong (C),6.5,26.3,46.5,59.3,73.4,16.7,16.4
22750,Greater Geelong (C),17.3,29.2,47,65.3,62.8,14.1,19.4
22830,Greater Shepparton (C),15.9,34.4,46,68,69.4,15.5,19.9
22910,Hepburn (S),19.7,33.3,48,64.8,67.9,12.9,18.7
22980,Hindmarsh (S),18.9,33,46,69.7,76.9,9.4,18.9
23110,Hobsons Bay (C),14.6,24.9,48.4,61,65.6,12.7,16.6
23190,Horsham (RC),19.7,32.2,45.9,66.9,70,10.3,16.1
23270,Hume (C),9.8,33.3,47,64.8,71.9,15.3,18.9
23350,Indigo (S),22.9,32.7,48.6,66.1,69.8,11.6,18
23430,Kingston (C),14.5,24.8,49.6,59.6,64.9,11.8,15
23670,Knox (C),14.4,24.5,48.9,58.7,65.9,11.6,14.3
23810,Latrobe (C),14.7,33.8,43.5,66.4,69.8,16.8,19.4
23940,Loddon (S),21.6,34.8,44.7,69.5,77.4,10.9,21.1
24130,Macedon Ranges (S),18.2,29.6,48.2,63.9,62.8,10.5,14.3
24210,Manningham (C),12.2,19.1,51.8,56.1,62.2,8.3,9.6
24250,Mansfield (S),22.1,33.9,47.1,64,65.2,8.7,18
24330,Maribyrnong (C),12.1,21.9,47.7,59.1,65,13.2,15.7
24410,Maroondah (C),16.7,26.3,49.7,62.3,64.6,12.2,15
