P_Tot_DUDW_15_29_h, P_Tot_UDW_NS, P_85y_ov_DNUDW_, P_Tot_DUDW_30_h_mo, P_Tot_DUDW_LT_5_h, P_Tot_DNUDW_, LGA_NAME11, P_85y_ov_Total, P_Tot_Total, P_85y_ov_UDW_NS, P_Tot_DUDW_5_14_h, LGA_MAIN11
1492,780,153,1271,1878,1799,"Alpine (S)",307,9855,52,2635,"20110"
1178,1123,108,1149,1652,1950,"Ararat (RC)",271,9206,80,2154,"20260"
9303,6206,839,8157,17005,15442,"Ballarat (C)",2010,75338,511,19225,"20570"
12246,6294,1429,9566,23390,19738,"Banyule (C)",2910,97233,517,25999,"20660"
3450,2472,324,3061,4484,4879,"Bass Coast (S)",838,24568,254,6222,"20740"
4812,2638,342,4583,7125,6445,"Baw Baw (S)",847,34286,219,8683,"20830"
9544,5226,1459,7129,18569,13443,"Bayside (C)",3306,73815,579,19904,"20910"
1579,817,215,1541,2099,2395,"Benalla (RC)",419,11268,78,2837,"21010"
15816,8079,2091,11478,36336,24724,"Boroondara (C)",4631,131417,807,34984,"21110"
13131,15849,1076,12596,29947,46946,"Brimbank (C)",2183,147931,487,29462,"21180"
705,405,111,875,970,1082,"Buloke (S)",245,5221,44,1184,"21270"
3938,2671,425,3629,5655,6030,"Campaspe (S)",908,29123,215,7200,"21370"
7262,3963,449,6533,12969,11137,"Cardinia (S)",849,56846,141,14982,"21450"
21174,14125,1431,18848,43841,49121,"Casey (C)",2515,193787,448,46678,"21610"
1401,961,188,1462,1613,2640,"Central Goldfields (S)",399,10420,84,2343,"21670"
2338,1367,240,2172,3134,3443,"Colac-Otway (S)",543,16491,118,4037,"21750"
1847,1122,197,1831,2549,2693,"Corangamite (S)",406,12979,88,2937,"21830"
11196,10637,1403,8954,27774,27333,"Darebin (C)",3079,114227,665,28333,"21890"
5092,3037,526,4940,5997,7202,"East Gippsland (S)",1111,34931,219,8663,"22110"
11892,8652,972,9984,23465,22053,"Frankston (C)",2292,102145,624,26099,"22170"
1194,811,171,1229,1453,1853,"Gannawarra (S)",344,8486,76,1946,"22250"
9531,11200,1442,8611,21913,38530,"Greater Dandenong (C)",2437,110979,392,21194,"22670"
21755,13499,2587,19057,37397,36509,"Greater Geelong (C)",5254,171923,956,43706,"22750"
5811,4523,641,5127,9425,11074,"Greater Shepparton (C)",1262,47498,251,11538,"22830"
1669,1105,165,1656,2181,2157,"Hepburn (S)",326,11910,66,3142,"22910"
671,372,170,739,864,1098,"Hindmarsh (S)",272,4766,35,1022,"22980"
7519,5997,717,6288,15485,16117,"Hobsons Bay (C)",1613,68660,368,17254,"23110"
2154,1249,167,1987,3290,2965,"Horsham (RC)",501,15517,166,3872,"23190"
12612,11644,587,12232,26336,39405,"Hume (C)",1160,129478,254,27249,"23270"
1837,987,193,1468,2433,2168,"Indigo (S)",328,12308,45,3415,"23350"
13510,8785,1727,10233,28190,26340,"Kingston (C)",3552,117322,659,30264,"23430"
14770,6945,1292,11720,30007,26493,"Knox (C)",2533,121654,447,31719,"23670"
7536,5183,736,7248,11046,13001,"Latrobe (C)",1402,58298,265,14284,"23810"
812,577,105,983,1064,1369,"Loddon (S)",228,6166,42,1361,"23940"
4812,2113,322,4427,6802,5533,"Macedon Ranges (S)",627,32966,96,9279,"24130"
