unemploymnt_2_denom_6_12_6_12, flfp_3_percent_6_11_6_11, lab_force_3_percent_6_12_6_12, area_code, area_name, lab_force_1_no_6_12_6_12, flfp_1_no_6_11_6_11, unemploymnt_3_percent_6_12_6_12, lab_force_2_denom_6_12_6_12, unemploymnt_1_no_6_12_6_12, flfp_2_denom_6_11_6_11
6667,52.6547786,64.05785615,20110,Alpine (S),6466,2628,4.334783261,10094,289,4991
6504,50.52350189,64.80691274,20260,Ararat (RC),6075,2268,5.857933579,9374,381,4489
52137,54.62445217,62.0949414,20570,Ballarat (C),48634,21687,6.901049159,78322,3598,39702
75838,58.02534944,72.88613137,20660,Banyule (C),74244,29391,3.934702919,101863,2984,50652
13416,45.99936498,56.40621925,20740,Bass Coast (S),14330,5795,4.8673226,25405,653,12598
22344,54.46685879,66.95098342,20830,Baw Baw (S),23862,9639,3.750447547,35641,838,17697
56004,55.29156565,72.30906883,20910,Bayside (C),56571,21666,3.744375402,78235,2097,39185
7487,50.1877774,63.84493671,21010,Benalla (RC),7263,2940,6.143982904,11376,460,5858
99500,58.62573099,68.96433397,21110,Boroondara (C),96468,40501,3.218090452,139881,3202,69084
96265,49.20920975,59.31874159,21180,Brimbank (C),93446,36590,8.947177063,157532,8613,74356
3599,46.55371583,72.50622248,21270,Buloke (S),3787,1209,4.028896916,5223,145,2597
19980,51.99490378,65.18304367,21370,Campaspe (S),19390,7754,4.974974975,29747,994,14913
35449,60.07916021,56.39293139,21450,Cardinia (S),34720,17456,5.763209117,61568,2043,29055
132788,58.23759844,62.69794212,21610,Casey (C),130065,57385,5.798716752,207447,7700,98536
5544,41.12114372,55.58201562,21670,Central Goldfields (S),5835,2186,10.6962482,10498,593,5316
12803,53.84799521,72.52369668,21750,Colac-Otway (S),12242,4499,6.162618136,16880,789,8355
10209,53.82851903,74.69768866,21830,Corangamite (S),9760,3522,3.408756979,13066,348,6543
77421,55.1213826,62.62507746,21890,Darebin (C),75792,32628,6.591234936,121025,5103,59193
21370,47.89276319,63.89464256,22110,East Gippsland (S),22827,8557,4.885353299,35726,1044,17867
72272,56.79664999,68.1578479,22170,Frankston (C),72766,29975,6.723212309,106761,4859,52776
6186,47.68732655,76.12254443,22250,Gannawarra (S),6510,2062,4.494018752,8552,278,4324
81767,59.36419808,72.33925146,22310,Glen Eira (C),82589,33146,5.041153522,114169,4122,55835
12388,52.49533292,73.16289984,22410,Glenelg (S),11848,4218,6.546658056,16194,811,8035
10452,59.41176471,66.8337678,22490,Golden Plains (S),9999,4242,4.487179487,14961,469,7140
52961,54.63378883,66.69973703,22620,Greater Bendigo (C),55801,23109,6.349955628,83660,3363,42298
66140,45.39142101,54.53329182,22670,Greater Dandenong (C),64809,25037,9.197157545,118843,6083,55158
120096,53.51055512,64.174237,22750,Greater Geelong (C),114723,47908,6.904476419,178768,8292,89530
32408,54.37917113,63.77449588,22830,Greater Shepparton (C),31437,13200,7.436435448,49294,2410,24274
7940,50.41989664,60.68152031,22910,Hepburn (S),7408,3122,6.146095718,12208,488,6192
3464,45.87650228,67.73789649,22980,Hindmarsh (S),3246,1107,4.647806005,4792,161,2413
49941,54.77072386,66.90091259,23110,Hobsons Bay (C),48457,19075,5.190124347,72431,2592,34827
12031,55.20119596,70.79055118,23190,Horsham (RC),11238,4431,4.646330313,15875,559,8027
86814,51.15851807,62.65429871,23270,Hume (C),86795,33693,6.997719262,138530,6075,65860
8702,58.52519723,67.45264168,23350,Indigo (S),8439,3635,3.700298782,12511,322,6211
88230,57.30576276,71.87157324,23430,Kingston (C),89138,34725,7.48271563,124024,6602,60596
