c10_drug_dealing_&_trafficking, grand_total_offence_count, f30_other_government_regulatory_offences, total_division_c_offences, d20_disorderly_&_offensive_conduct, d10_weapons_&_explosives_offences, a80_dangerous_&_negligent_acts_endangering_people, a30_sexual_offences, a10_homicide_&_related_offences, e10_justice_procedures, total_division_f_offences, a50_robbery, b50_deception, a20_assault_&_related_offences, c30_drug_use_&_possession, b20_property_damage, total_division_a_offences, d30_public_nuisance_offences, reference_period, b10_arson, total_division_d_offences, c20_cultivate_or_manufacture_drugs, f90_miscellaneous_offences, d40_public_security_offences, a40_abduction_&_related_offences, b30_burglary_break_&_enter, total_division_b_offences, lga_erp, lga_name11, lga_code, total_division_e_offences, e20_breaches_of_orders, f10_regulatory_driving_offences, a70_stalking_harassment_&_threatening_behaviour, b40_theft, a60_blackmail_&_extortion, c90_other_drug_offences, f20_transport_regulation_offences, b60_bribery
10,365,4,41,32,13,6,18,null,14,11,null,6,26,24,52,54,5,2011,3,50,7,7,null,null,29,183,12068,Alpine (S),20110,26,12,null,4,93,null,null,null,null
3,961,4,40,119,29,9,20,null,35,7,null,11,103,31,176,157,8,2011,9,156,6,3,null,1,91,514,11326,Ararat (RC),20260,87,52,null,24,227,null,null,null,null
50,9385,55,250,596,112,65,177,2,68,63,46,192,826,180,1817,1401,31,2011,88,740,20,8,1,7,1182,6473,95185,Ballarat (C),20570,458,390,null,277,3194,1,null,null,null
26,6561,10,241,175,96,62,127,2,94,25,58,287,539,196,1014,918,42,2011,52,313,19,4,null,8,861,4270,122983,Banyule (C),20660,794,700,1,121,2056,1,null,10,null
8,1961,13,78,202,29,26,83,null,21,18,4,46,209,52,272,419,14,2011,9,246,18,3,1,3,219,1086,30233,Bass Coast (S),20740,114,93,1,92,540,2,null,1,null
27,2069,7,110,136,52,26,40,2,32,26,4,150,202,70,264,355,5,2011,32,193,13,2,null,1,225,1256,43389,Baw Baw (S),20830,129,97,1,78,585,2,null,16,null
13,3393,7,142,116,42,11,84,2,44,10,35,154,253,124,479,456,28,2011,14,187,3,3,1,4,458,2430,96119,Bayside (C),20910,168,124,null,66,1325,1,2,null,null
3,932,2,34,48,31,16,18,2,24,5,4,30,129,20,172,199,7,2011,19,86,11,3,null,3,95,544,13818,Benalla (RC),21010,64,40,null,27,228,null,null,null,null
32,5860,4,135,297,43,39,110,2,26,10,45,275,300,100,897,572,43,2011,31,383,3,1,null,7,1132,4657,167062,Boroondara (C),21110,103,77,null,67,2322,2,null,5,null
135,16781,19,668,342,332,111,241,5,179,47,292,726,1173,468,1648,2071,40,2011,170,715,65,5,1,30,2610,12221,191496,Brimbank (C),21180,1059,880,1,212,7065,7,null,22,2
1,338,5,10,25,5,2,10,2,6,5,1,25,26,7,54,46,3,2011,15,33,2,null,null,null,41,235,6465,Buloke (S),21270,9,3,null,5,100,null,null,null,null
23,2737,10,86,196,46,29,67,2,27,13,6,590,179,50,337,306,18,2011,18,260,13,3,null,null,279,1926,36855,Campaspe (S),21370,146,119,null,23,702,null,null,null,null
13,4191,16,188,139,101,49,173,2,47,39,13,123,423,140,628,779,18,2011,29,258,35,4,null,6,556,2675,75831,Cardinia (S),21450,252,205,null,112,1339,1,null,19,null
81,14217,16,486,279,266,157,346,6,100,27,107,1187,1514,353,1802,2526,39,2011,179,584,52,4,null,23,1413,9665,261282,Casey (C),21610,929,829,null,373,5083,null,null,7,1
null,1013,7,31,59,22,14,23,2,15,9,null,43,128,27,135,220,21,2011,12,102,4,1,null,1,106,582,12579,Central Goldfields (S),21670,69,54,null,52,286,null,null,1,null
17,1336,6,83,146,19,11,60,2,25,18,1,45,120,49,210,220,17,2011,12,182,17,10,null,1,141,752,20799,Colac-Otway (S),21750,81,56,null,24,344,1,null,2,null
1,687,2,16,28,18,18,49,2,11,4,null,36,67,12,94,166,4,2011,4,50,1,2,null,2,94,422,16526,Corangamite (S),21830,29,18,null,28,194,null,2,null,null
