,"diabetes_per100,000","cerebrovascular_per100,000","colorectal_per100,000","cancer_per100,000","pulmonary _per100,000",Avoidable_Death_Total,lga_code,lga_name
0,6.119672131147541,6.1,9.6,26.8,6.9,55.51967213114754,20110,Alpine (S)
1,13.0,15.8,13.2,34.6,12.5,89.1,20260,Ararat (RC)
2,5.1,9.8,12.8,34.9,12.0,74.6,20570,Ballarat (C)
3,3.8,8.4,9.5,29.0,5.0,55.7,20660,Banyule (C)
4,6.7,5.8,8.2,33.1,8.9,62.699999999999996,20740,Bass Coast (S)
5,5.2,6.4,5.3,26.5,10.1,53.50000000000001,20830,Baw Baw (S)
6,3.6,5.7,7.5,23.9,4.9,45.6,20910,Bayside (C)
7,10.3,11.5,9.2,37.5,6.6,75.1,21010,Benalla (RC)
8,1.7,5.1,6.3,22.5,2.9,38.5,21110,Boroondara (C)
9,9.1,10.2,10.2,24.4,5.5,59.39999999999999,21180,Brimbank (C)
11,6.8,9.6,6.9,31.4,9.6,64.3,21370,Campaspe (S)
12,3.7,6.4,7.6,30.0,7.0,54.7,21450,Cardinia (S)
13,4.4,10.0,10.7,27.9,7.0,60.0,21610,Casey (C)
14,14.1,10.9,13.3,40.4,13.0,91.69999999999999,21670,Central Goldfields (S)
15,6.119672131147541,10.9,9.2,38.2,9.7,74.11967213114754,21750,Colac-Otway (S)
16,5.3,8.3,6.4,30.2,5.1,55.300000000000004,21830,Corangamite (S)
17,4.4,7.8,8.6,27.7,7.1,55.6,21890,Darebin (C)
18,5.8,8.4,12.5,32.1,9.0,67.8,22110,East Gippsland (S)
19,6.7,7.3,12.4,33.9,12.7,73.0,22170,Frankston (C)
20,7.0,11.2,8.6,27.7,10.4,64.9,22250,Gannawarra (S)
21,4.3,5.2,16.4,35.7,6.7,68.3,22410,Glenelg (S)
22,6.119672131147541,7.5,12.5,38.4,9.8,74.31967213114754,22490,Golden Plains (S)
23,5.2,10.2,11.0,30.2,9.3,65.89999999999999,22620,Greater Bendigo (C)
24,7.7,11.6,7.4,22.5,7.7,56.900000000000006,22670,Greater Dandenong (C)
25,6.2,8.4,12.2,33.7,9.7,70.2,22750,Greater Geelong (C)
26,7.1,12.8,9.2,30.2,10.7,70.0,22830,Greater Shepparton (C)
27,4.3,6.6,7.6,27.1,3.5,49.1,22310,Glen Eira (C)
28,5.6,9.2,14.4,35.1,10.6,74.89999999999999,22910,Hepburn (S)
29,6.119672131147541,8.654411764705884,22.8,41.6,8.515492957746481,87.6895768535999,22980,Hindmarsh (S)
30,4.6,9.6,11.0,33.3,9.7,68.2,23110,Hobsons Bay (C)
31,10.9,14.8,10.9,29.0,6.8,72.39999999999999,23190,Horsham (RC)
32,6.5,7.4,9.0,28.3,9.5,60.7,23270,Hume (C)
33,6.119672131147541,8.654411764705884,5.3,26.9,9.5,56.474083895853425,23350,Indigo (S)
34,3.5,8.7,11.0,33.1,4.9,61.199999999999996,23430,Kingston (C)
35,4.6,8.5,9.5,26.2,6.9,55.699999999999996,23670,Knox (C)
36,11.3,12.1,8.5,26.7,12.7,71.3,23810,Latrobe (C)
37,13.2,8.654411764705884,13.7,34.4,18.0,87.95441176470588,23940,Loddon (S)
38,3.5,6.5,9.0,23.7,5.6,48.300000000000004,24130,Macedon Ranges (S)
39,1.9,5.4,7.6,22.3,1.6,38.800000000000004,24210,Manningham (C)
41,8.9,8.8,11.1,27.3,10.4,66.50000000000001,24330,Maribyrnong (C)
42,3.2,10.1,10.1,30.7,6.5,60.599999999999994,24410,Maroondah (C)
43,2.4,5.9,5.4,19.3,6.7,39.7,24600,Melbourne (C)
44,7.9,9.3,10.0,27.5,9.1,63.800000000000004,24650,Melton (S)
45,6.4,8.3,7.6,31.1,13.0,66.4,24780,Mildura (RC)
46,8.0,8.7,8.6,26.1,6.9,58.3,24850,Mitchell (S)
47,7.8,8.9,8.5,29.3,12.6,67.1,24900,Moira (S)
48,3.0,4.9,6.0,21.1,3.0,38.0,24970,Monash (C)
49,6.4,6.6,8.7,22.6,6.4,50.699999999999996,25060,Moonee Valley (C)
50,4.1,8.9,9.7,28.7,9.1,60.5,25150,Moorabool (S)
51,7.7,8.1,11.9,31.5,5.9,65.10000000000001,25250,Moreland (C)
52,2.8,5.3,8.2,32.1,6.3,54.699999999999996,25340,Mornington Peninsula (S)
53,6.119672131147541,6.5,12.3,29.9,7.9,62.71967213114754,25430,Mount Alexander (S)
54,6.119672131147541,8.654411764705884,7.0,25.7,6.8,54.27408389585342,25490,Moyne (S)
55,6.119672131147541,12.5,10.2,36.7,10.9,76.41967213114755,25620,Murrindindi (S)
56,2.4,2.4,6.4,24.6,3.2,39.0,25710,Nillumbik (S)
57,11.9,13.3,13.3,53.9,16.5,108.9,25810,Northern Grampians (S)
58,5.4,4.4,8.1,28.2,7.4,53.49999999999999,25900,Port Phillip (C)
59,6.119672131147541,8.654411764705884,9.6,34.7,8.515492957746481,67.58957685359991,25990,Pyrenees (S)
61,6.8,9.1,8.0,26.7,6.5,57.099999999999994,26170,South Gippsland (S)
62,6.119672131147541,7.3,11.6,33.0,10.1,68.11967213114754,26260,Southern Grampians (S)
63,3.5,6.6,9.6,29.7,3.8,53.199999999999996,26350,Stonnington (C)
64,6.119672131147541,11.2,7.1,34.9,15.6,74.91967213114754,26430,Strathbogie (S)
65,6.119672131147541,8.654411764705884,9.2,22.8,8.515492957746481,55.289576853599904,26490,Surf Coast (S)
66,8.5,10.4,6.7,20.1,11.0,56.7,26610,Swan Hill (RC)
67,6.119672131147541,8.654411764705884,9.910810810810812,20.6,12.0,57.28489470666424,26670,Towong (S)
68,5.7,6.4,10.3,32.5,14.1,69.0,26700,Wangaratta (RC)
69,8.0,11.8,9.4,32.6,9.8,71.60000000000001,26730,Warrnambool (C)
70,5.9,13.1,10.9,40.0,9.0,78.9,26810,Wellington (S)
71,6.119672131147541,8.654411764705884,17.6,34.5,8.515492957746481,75.38957685359992,26890,West Wimmera (S)
72,2.7,6.7,12.2,31.6,3.2,56.400000000000006,26980,Whitehorse (C)
73,6.8,7.8,12.3,30.3,6.4,63.6,27070,Whittlesea (C)
74,5.7,8.8,10.1,32.7,11.5,68.80000000000001,27170,Wodonga (RC)
75,4.9,8.3,9.2,25.6,8.1,56.1,27260,Wyndham (C)
76,7.1,8.7,11.2,26.8,6.7,60.5,27350,Yarra (C)
77,2.3,8.7,8.3,27.9,9.1,56.300000000000004,27450,Yarra Ranges (S)
